iter	Passed	Remaining
200	986	3919
201	990	3912
202	994	3905
203	999	3898
204	1000	3881
205	1007	3881
206	1011	3874
207	1015	3866
208	1019	3859
209	1024	3852
210	1030	3854
211	1034	3846
212	1039	3839
213	1045	3839
214	1049	3833
215	1056	3833
216	1062	3832
217	1067	3830
218	1072	3823
219	1076	3816
220	1080	3809
221	1086	3808
222	1090	3801
223	1095	3794
224	1099	3788
225	1105	3785
226	1109	3778
227	1113	3771
228	1118	3764
229	1120	3751
230	1124	3744
231	1129	3737
232	1133	3730
233	1138	3728
234	1143	3721
235	1148	3716
236	1152	3710
237	1156	3703
238	1161	3696
239	1165	3690
240	1169	3684
241	1172	3673
242	1176	3666
243	1183	3666
244	1189	3664
245	1195	3663
246	1199	3657
247	1204	3651
248	1208	3644
249	1212	3638
250	1217	3633
251	1221	3626
252	1227	3624
253	1233	3623
254	1238	3617
255	1242	3611
256	1247	3605
257	1251	3598
258	1257	3597
259	1261	3591
260	1266	3584
261	1270	3578
262	1274	3571
263	1278	3565
264	1283	3558
265	1288	3556
266	1294	3555
267	1300	3553
268	1306	3550
269	1311	3545
270	1315	3538
271	1319	3532
272	1324	3526
273	1328	3520
274	1333	3515
275	1337	3509
276	1342	3505
277	1347	3499
278	1351	3493
279	1356	3487
280	1360	3481
281	1365	3475
282	1371	3475
283	1376	3469
284	1380	3464
285	1385	3457
286	1389	3452
287	1394	3446
288	1398	3440
289	1404	3437
290	1408	3431
291	1412	3425
292	1418	3423
293	1423	3417
294	1427	3411
295	1431	3405
296	1436	3399
297	1442	3398
298	1446	3392
299	1451	3386
300	1455	3379
301	1459	3374
302	1466	3373
303	1470	3367
304	1475	3362
305	1480	3356
306	1484	3350
307	1488	3344
308	1493	3339
309	1497	3334
310	1502	3328
311	1506	3323
312	1511	3317
313	1515	3311
314	1522	3311
315	1529	3310
316	1533	3304
317	1538	3298
318	1542	3292
319	1546	3286
320	1550	3280
321	1555	3274
322	1560	3271
323	1566	3268
324	1571	3263
325	1575	3257
326	1579	3251
327	1584	3245
328	1588	3239
329	1592	3233
330	1597	3228
331	1601	3222
332	1605	3216
333	1609	3210
334	1615	3207
335	1620	3201
336	1624	3195
337	1628	3189
338	1632	3183
339	1636	3177
340	1641	3171
341	1645	3166
342	1649	3160
343	1654	3155
344	1659	3150
345	1665	3147
346	1669	3142
347	1673	3136
348	1678	3130
349	1682	3124
350	1686	3118
351	1691	3113
352	1695	3107
353	1701	3105
354	1707	3102
355	1711	3096
356	1716	3091
357	1721	3086
358	1726	3082
359	1731	3077
360	1738	3076
361	1742	3071
362	1749	3070
363	1754	3065
364	1761	3063
365	1766	3060
366	1771	3056
367	1779	3055
368	1784	3051
369	1789	3047
370	1794	3042
371	1799	3038
372	1804	3033
373	1809	3028
374	1814	3023
375	1819	3020
376	1826	3018
377	1831	3014
378	1836	3009
379	1841	3004
380	1846	3000
381	1853	2998
382	1860	2996
383	1865	2991
384	1870	2987
385	1877	2986
386	1884	2984
387	1888	2978
388	1893	2973
389	1897	2967
390	1902	2963
391	1907	2958
392	1911	2952
393	1916	2947
394	1921	2942
395	1927	2940
396	1932	2935
397	1936	2929
398	1941	2924
399	1945	2918
400	1951	2914
401	1957	2911
402	1961	2905
403	1967	2902
404	1973	2899
405	1979	2895
406	1983	2889
407	1987	2884
408	1992	2878
409	1996	2872
410	2000	2867
411	2004	2861
412	2009	2855
413	2013	2850
414	2017	2844
415	2022	2839
416	2027	2834
417	2032	2829
418	2036	2823
419	2040	2818
420	2044	2812
421	2049	2806
422	2053	2801
423	2059	2798
424	2065	2794
425	2069	2789
426	2074	2783
427	2078	2777
428	2082	2772
429	2086	2766
430	2091	2760
431	2095	2755
432	2099	2749
433	2104	2745
434	2109	2739
435	2113	2734
436	2119	2731
437	2124	2725
438	2128	2720
439	2132	2714
440	2138	2710
441	2142	2704
442	2148	2701
443	2152	2695
444	2157	2690
445	2163	2687
446	2167	2681
447	2174	2678
448	2178	2673
449	2182	2667
450	2188	2664
451	2193	2659
452	2198	2654
453	2202	2649
454	2208	2645
455	2212	2639
456	2217	2634
457	2223	2631
458	2227	2626
459	2232	2620
460	2238	2617
461	2244	2613
462	2250	2609
463	2254	2604
464	2258	2598
465	2264	2595
466	2269	2590
467	2275	2587
468	2282	2583
469	2287	2578
470	2290	2572
471	2295	2567
472	2300	2563
473	2305	2558
474	2310	2553
475	2316	2550
476	2320	2544
477	2327	2541
478	2331	2536
479	2335	2530
480	2340	2525
481	2344	2520
482	2349	2514
483	2353	2509
484	2358	2504
485	2362	2498
486	2367	2493
487	2371	2488
488	2377	2484
489	2383	2480
490	2387	2475
491	2392	2469
492	2396	2464
493	2400	2459
494	2405	2453
495	2409	2448
496	2413	2443
497	2419	2439
498	2425	2435
499	2430	2430
500	2434	2424
501	2438	2419
502	2443	2413
503	2449	2410
504	2453	2405
505	2458	2399
506	2462	2394
507	2467	2390
508	2472	2384
509	2478	2381
510	2484	2377
511	2489	2372
512	2493	2367
513	2497	2361
514	2503	2357
515	2509	2353
516	2513	2348
517	2517	2342
518	2522	2338
519	2527	2332
520	2533	2329
521	2540	2325
522	2546	2322
523	2551	2317
524	2558	2314
525	2562	2309
526	2569	2305
527	2573	2300
528	2579	2297
529	2584	2291
530	2588	2286
531	2594	2282
532	2598	2277
533	2603	2271
534	2609	2267
535	2613	2262
536	2618	2257
537	2622	2252
538	2628	2247
539	2632	2242
540	2636	2237
541	2641	2231
542	2646	2227
543	2651	2222
544	2655	2216
545	2661	2213
546	2666	2207
547	2670	2202
548	2675	2197
549	2679	2192
550	2683	2186
551	2687	2181
552	2694	2177
553	2698	2172
554	2705	2168
555	2709	2163
556	2713	2158
557	2717	2152
558	2722	2147
559	2726	2142
560	2730	2137
561	2735	2131
562	2741	2127
563	2745	2122
564	2752	2119
565	2757	2114
566	2762	2109
567	2766	2104
568	2771	2099
569	2778	2095
570	2782	2090
571	2787	2085
572	2791	2080
573	2795	2074
574	2799	2069
575	2802	2062
576	2806	2057
577	2812	2053
578	2818	2049
579	2822	2043
580	2826	2038
581	2833	2034
582	2839	2030
583	2843	2025
584	2849	2021
585	2854	2016
586	2858	2011
587	2862	2005
588	2867	2000
589	2873	1996
590	2879	1992
591	2883	1987
592	2890	1983
593	2896	1979
594	2900	1974
595	2904	1968
596	2908	1963
597	2911	1957
598	2916	1952
599	2920	1946
600	2926	1943
601	2931	1937
602	2935	1932
603	2939	1927
604	2944	1922
605	2948	1917
606	2952	1911
607	2957	1906
608	2961	1901
609	2966	1896
610	2970	1891
611	2977	1887
612	2981	1882
613	2985	1877
614	2990	1871
615	2994	1866
616	2998	1861
617	3004	1857
618	3009	1852
619	3013	1846
620	3017	1841
621	3021	1836
622	3026	1831
623	3032	1827
624	3037	1822
625	3042	1817
626	3047	1813
627	3052	1808
628	3056	1802
629	3061	1797
630	3065	1792
631	3069	1787
632	3075	1783
633	3079	1777
634	3083	1772
635	3088	1767
636	3092	1762
637	3095	1756
638	3099	1751
639	3104	1746
640	3108	1741
641	3112	1735
642	3117	1730
643	3121	1725
644	3125	1720
645	3130	1715
646	3134	1710
647	3139	1705
648	3143	1700
649	3147	1695
650	3152	1689
651	3156	1684
652	3161	1679
653	3165	1674
654	3170	1669
655	3174	1664
656	3179	1660
657	3184	1655
658	3189	1650
659	3193	1645
660	3199	1641
661	3204	1636
662	3209	1631
663	3213	1626
664	3218	1621
665	3224	1616
666	3228	1612
667	3235	1607
668	3239	1602
669	3244	1597
670	3248	1592
671	3253	1587
672	3259	1583
673	3265	1579
674	3269	1574
675	3275	1569
676	3279	1564
677	3285	1560
678	3289	1555
679	3294	1550
680	3299	1545
681	3303	1540
682	3308	1535
683	3313	1530
684	3319	1526
685	3325	1522
686	3329	1517
687	3334	1511
688	3338	1506
689	3342	1501
690	3347	1496
691	3353	1492
692	3357	1487
693	3363	1482
694	3367	1477
695	3371	1472
696	3376	1467
697	3381	1463
698	3385	1457
699	3390	1452
700	3396	1448
701	3400	1443
702	3404	1438
703	3409	1433
704	3413	1428
705	3418	1423
706	3424	1419
707	3430	1414
708	3436	1410
709	3440	1405
710	3445	1400
711	3450	1395
712	3456	1391
713	3462	1387
714	3467	1382
715	3473	1377
716	3477	1372
717	3482	1367
718	3486	1362
719	3490	1357
720	3496	1352
721	3502	1348
722	3508	1344
723	3512	1338
724	3518	1334
725	3522	1329
726	3526	1324
727	3531	1319
728	3534	1313
729	3538	1308
730	3542	1303
731	3547	1298
732	3552	1294
733	3557	1289
734	3563	1284
735	3568	1279
736	3572	1274
737	3578	1270
738	3582	1265
739	3586	1260
740	3590	1255
741	3595	1250
742	3599	1245
743	3605	1240
744	3611	1236
745	3617	1231
746	3622	1226
747	3626	1221
748	3630	1216
749	3636	1212
750	3640	1207
751	3645	1202
752	3651	1197
753	3656	1193
754	3662	1188
755	3668	1184
756	3672	1178
757	3678	1174
758	3682	1169
759	3687	1164
760	3691	1159
761	3695	1154
762	3701	1149
763	3707	1145
764	3711	1140
765	3715	1135
766	3719	1130
767	3724	1124
768	3728	1119
769	3733	1115
770	3739	1110
771	3744	1105
772	3748	1100
773	3753	1095
774	3759	1091
775	3763	1086
776	3770	1082
777	3774	1077
778	3778	1072
779	3783	1067
780	3789	1062
781	3793	1057
782	3797	1052
783	3804	1048
784	3808	1043
785	3813	1038
786	3817	1033
787	3822	1028
788	3826	1023
789	3832	1018
790	3836	1013
791	3840	1008
792	3845	1003
793	3851	999
794	3855	994
795	3860	989
796	3867	984
797	3871	979
798	3877	975
799	3882	970
800	3886	965
801	3892	961
802	3898	956
803	3903	951
804	3907	946
805	3911	941
806	3915	936
807	3919	931
808	3924	926
809	3928	921
810	3934	917
811	3939	912
812	3943	907
813	3949	902
814	3958	898
815	3963	893
816	3969	889
817	3973	884
818	3978	879
819	3982	874
820	3986	869
821	3990	864
822	3995	859
823	3999	854
824	4004	849
825	4008	844
826	4012	839
827	4018	834
828	4023	829
829	4027	824
830	4031	819
831	4035	814
832	4040	809
833	4044	805
834	4050	800
835	4054	795
836	4059	790
837	4063	785
838	4067	780
839	4074	776
840	4078	771
841	4082	766
842	4087	761
843	4091	756
844	4096	751
845	4101	746
846	4107	741
847	4113	737
848	4119	732
849	4123	727
850	4127	722
851	4133	718
852	4138	713
853	4142	708
854	4147	703
855	4152	698
856	4156	693
857	4162	688
858	4168	684
859	4174	679
860	4180	674
861	4186	670
862	4191	665
863	4196	660
864	4200	655
865	4204	650
866	4211	645
867	4215	641
868	4220	636
869	4226	631
870	4231	626
871	4235	621
872	4240	616
873	4244	611
874	4250	607
875	4254	602
876	4258	597
877	4263	592
878	4268	587
879	4273	582
880	4277	577
881	4282	572
882	4286	568
883	4291	563
884	4295	558
885	4300	553
886	4304	548
887	4310	543
888	4315	538
889	4321	534
890	4327	529
891	4331	524
892	4335	519
893	4340	514
894	4346	509
895	4352	505
896	4356	500
897	4363	495
898	4367	490
899	4372	485
900	4376	480
901	4380	475
902	4384	471
903	4388	466
904	4395	461
905	4399	456
906	4404	451
907	4408	446
908	4412	441
909	4417	436
910	4421	431
911	4425	427
912	4429	422
913	4434	417
914	4439	412
915	4445	407
916	4450	402
917	4456	398
918	4460	393
919	4465	388
920	4469	383
921	4473	378
922	4477	373
923	4482	368
924	4488	363
925	4493	359
926	4497	354
927	4501	349
928	4505	344
929	4511	339
930	4515	334
931	4520	329
932	4524	324
933	4528	320
934	4534	315
935	4540	310
936	4545	305
937	4549	300
938	4554	295
939	4560	291
940	4564	286
941	4568	281
942	4574	276
943	4579	271
944	4585	266
945	4590	262
946	4594	257
947	4600	252
948	4604	247
949	4609	242
950	4613	237
951	4617	232
952	4622	227
953	4627	223
954	4633	218
955	4637	213
956	4641	208
957	4647	203
958	4652	198
959	4658	194
960	4662	189
961	4668	184
962	4672	179
963	4677	174
964	4681	169
965	4687	164
966	4693	160
967	4697	155
968	4701	150
969	4706	145
970	4710	140
971	4715	135
972	4719	130
973	4724	126
974	4728	121
975	4734	116
976	4738	111
977	4743	106
978	4747	101
979	4753	97
980	4757	92
981	4762	87
982	4769	82
983	4773	77
984	4777	72
985	4782	67
986	4786	63
987	4792	58
988	4798	53
989	4802	48
990	4807	43
991	4811	38
992	4815	33
993	4820	29
994	4824	24
995	4828	19
996	4834	14
997	4840	9
998	4844	4
999	4848	0
