iter	RMSE
229	83099.10673
230	83077.42832
231	83045.71227
232	83017.23648
233	82978.52865
234	82923.34596
235	82889.66408
236	82841.63495
237	82797.7415
238	82793.35987
239	82752.47183
240	82726.25852
241	82721.97614
242	82676.42975
243	82639.65135
244	82614.69032
245	82558.08231
246	82541.19737
247	82494.14184
248	82459.50803
249	82443.04633
250	82369.81769
251	82344.76739
252	82318.01672
253	82290.87667
254	82248.95286
255	82197.55871
256	82157.45125
257	82137.34331
258	82106.39632
259	82036.41669
260	81975.72709
261	81958.0519
262	81928.89424
263	81899.93709
264	81840.42239
265	81833.23603
266	81797.80593
267	81743.68792
268	81739.21245
269	81694.43278
270	81644.80143
271	81620.22506
272	81589.26896
273	81582.65646
274	81521.94833
275	81500.95458
276	81476.95234
277	81470.52872
278	81421.4165
279	81387.66888
280	81317.74861
281	81311.1851
282	81266.41419
283	81252.39364
284	81190.24766
285	81105.82341
286	81064.61748
287	81022.1548
288	80970.69822
289	80938.51891
290	80913.20356
291	80887.7672
292	80872.33639
293	80857.42006
294	80844.09655
295	80824.1927
296	80773.08509
297	80726.96478
298	80699.44705
299	80658.79169
300	80636.07022
301	80610.04265
302	80593.47731
303	80555.5181
304	80516.50996
305	80510.80891
306	80478.66996
307	80452.43813
308	80405.63661
309	80373.53082
310	80355.44294
311	80341.34961
312	80324.71213
313	80277.75798
314	80239.65131
315	80213.69843
316	80191.86036
317	80170.40625
318	80156.65114
319	80093.78377
320	80075.53452
321	80067.21772
322	80033.73952
323	80003.27168
324	79965.22782
325	79958.70583
326	79928.13101
327	79879.37523
328	79865.59255
329	79836.29334
330	79801.98225
331	79770.09714
332	79754.1782
333	79731.6867
334	79709.83062
335	79686.01067
336	79652.84841
337	79632.61431
338	79617.04972
339	79579.03247
340	79553.41745
341	79503.09599
342	79496.66494
343	79469.527
344	79436.97228
345	79410.58339
346	79402.92998
347	79369.05331
348	79334.92589
349	79324.9743
350	79296.45265
351	79272.99861
352	79242.28374
353	79202.43209
354	79191.61349
355	79175.34473
356	79140.64568
357	79125.1475
358	79116.819
359	79087.38058
360	79077.54366
361	79063.24898
362	79045.31056
363	79010.57309
364	78998.91654
365	78969.7216
366	78961.76659
367	78937.4891
368	78902.82239
369	78876.70305
370	78838.32787
371	78817.51002
372	78780.53457
373	78741.37125
374	78701.0617
375	78680.93287
376	78663.98584
377	78626.85715
378	78612.56163
379	78607.36687
380	78585.90136
381	78569.15316
382	78540.92397
383	78518.38528
384	78491.24652
385	78480.5228
386	78456.60574
387	78453.12019
388	78422.10844
389	78397.06853
390	78380.55937
391	78361.4727
392	78315.50858
393	78297.44743
394	78292.43667
395	78269.28095
396	78259.28782
397	78235.98873
398	78229.3008
399	78223.50026
400	78208.74175
401	78203.98161
402	78175.7333
403	78157.30931
404	78120.61509
405	78116.14238
